Head Entity,Possible Value(s) of Misc,Relation Type (non-standard),Tail Entity,Possible Value(s) of Misc,Wikidata Predicate,Wikidata Predicate ID,Comment
Person,,lived_in,Location,,residence,P551,
Person,,worked_in,Location,,work location,P937,
Organisation,,worked_in,Location,,work location,P937,
Person,,worked_for,Organisation,,employer,P108,
Person,,worked_for,Person,,employer,P108,
Person,,participated_in,Misc,Event,participant in,P1344,
Organisation,,participated_in,Misc,,participant in,P1344,
Person,,born_in,Location,,place of birth,P19,
Person,,born_on,Date,,date of birth,P569,
Person,,died_on,Date,,date of death,P570,
Person,,worked_as,Misc,Job/Role,occupation,P106,
Person,,created,Misc,"Artefact (e.g., artwork, photo)",notable work,P800,
Organisation,,created,Misc,,notable work,P800,
Person,,built,Location,,notable work,P800,
Person,,married_to,Person,,spouse,P26,
Misc,,happened_in,Location,,location,P276,
Misc,Event,happened_on,Date,,point in time,P585,
Location,,as_of,Date,,point in time,P585,
Misc,"Artefact (e.g., artwork, photo)",shows,Misc,Event,depicts,P180,
Misc,"Artefact (e.g., artwork, photo)",shows,Person,,depicts,P180,
Misc,"Artefact (e.g., artwork, photo)",shows,Location,,depicts,P180,
Misc,"Artefact (e.g., artwork, photo)",shows,Organisation,,depicts,P180,
Organisation,,created_on,Date,,inception,P571,
Location,,created_on,Date,,inception,P571,
Misc,,created_on,Date,,inception,P571,
Person,,connected_to,Organisation,,affiliation,P1416,
Organisation,,connected_to,Organisation,,affiliation,P1416,
Organisation,,collaborated_with,Organisation,,partnership with ,P2652,
Person,,member_of,Organisation,,member of ,P463,
Person,,wrote_to/spoke_to/met,Person,,significant person,P3342,
Organisation,,made_up_of,Person,,significant person,P3342,
Location,,located_in,Location,,located in/on physical feature,P706,
Misc,"Transportation (e.g., ship, train)",operated_in,Location,,operating area,P2541,
,,,,,,,
,,,,,,,
POTENTIAL ADDITIONAL PREDICATES BUT NOT YET CONFIRMED:,,,,,,,
Person,,Son_of,Person,,child,P40,
Location,,Demolished_in,Date,,demolished date,P576,
Misc,,Demolished_in,Date,,demolished date,P576,
Location,"opposite, near, ",near,Location,,Near,P2789,
Person, memorial tablet ,commemorates,Location,,commemorates,P5477,
Person,drawing of ,depicts,Misc,,depicts,P180,
Person ,Maternal aunt,relative,Person,,relative,P1038,
Person,date of marriage,start time ,Date,,start time ,P580,
Org,Stucture Replaced by at same location,structure replaced by,Org,,structure replaced by,P167,
Misc,,structure replaced by,Misc,,structure replaced by,P167,
Per,founder,Founder,Or,,founder,P112,
Misc,,date of foundation or creation,Date,,date of foundation or creation,P571,
Org,,date of foundation or creation,Date,,date of foundation or creation,P571,
